dataset,feature_id,description
Joint,EA03_705009,渡辺橋JCT を 天神橋JCT に修正
Joint,EA03_705004,信濃橋／西船場JCT を 西船場JCT に修正
Joint,EA03_706002,島屋／ユニバーサルシティ を ユニバーサルシティ に修正
Joint,EA03_713005,本田／九条 を 本田 に修正
Joint,EA03_712005,浜津橋JCT を 南開JCT に修正
Joint,EA03_723004,大洲 を 大州 に修正
Joint,EA03_578005,瑞穂宝樹 を 瑞穂宝木 に修正
Joint,EA03_584004,竹迫ランプ を 相生 に修正
Joint,EA03_521014,高鷲 の N06-014 を 9999 に修正
Joint,EA03_731001,アイランドシティ出入口 を アイランドシティ に変更
HighwaySection,EA02_135001,"穴水道路 の [ 136.899002, 37.23751957 ] を [ 136.899002, 37.237516 ] に修正"
HighwaySection,EA02_134001,能登有料道路 の N06_003 を 9999 に変更
HighwaySection,EA02_134001,"能登有料道路 の [ 136.84217195, 37.058924 ] を 徳田大津JCT [ 136.842166, 37.058924 ] に変更"
HighwaySection,EA02_134001,"能登有料道路 の [ 136.83332995, 37.136566 ] を [ 136.833324, 37.136566 ] に変更"
HighwaySection,EA02_134002,能登有料道路 の N06_003 を 9999 に変更
